id,correct RAG Gem,correct Gem FT,correct Gem,correct CL,complete RAG Gem,complete Gem FT,complete Gem,complete CL,censored
p02779.html,1,1,1,1,1,1,1,0,
p02707.html,0,0,0,0,1,1,1,0,
p02771.html,0,0,0,0,1,1,1,1,
p02417.html,0,1,1,0,1,1,1,1,
p04030.html,1,1,0,1,1,1,1,1,
p02829.html,0,0,0,0,1,1,1,0,
p03293.html,1,1,1,0,1,1,1,1,
p02785.html,0,0,0,0,1,0,0,0,
p02391.html,1,0,0,0,1,1,1,1,
p03220.html,1,1,1,0,0,1,1,0,
p02879.html,1,0,1,0,1,1,1,0,
p03073.html,0,0,0,0,1,1,1,0,
p02406.html,0,0,0,0,0,0,0,0,
p02911.html,0,0,0,0,1,0,1,1,
p02783.html,1,0,0,0,1,1,1,0,
p02641.html,0,1,1,0,1,1,1,0,
p02257.html,1,1,1,1,1,1,1,1,
p02259.html,0,0,0,0,1,1,1,0,
p02415.html,1,0,1,0,1,0,1,1,
p02410.html,1,1,0,1,1,1,0,1,
p03285.html,0,0,0,0,1,1,1,1,
p02777.html,0,0,0,0,1,0,1,1,
p03043.html,0,0,0,0,0,1,1,0,
p03998.html,0,0,1,0,0,0,1,0,
p02819.html,0,1,1,1,1,1,1,0,
p03011.html,0,0,0,1,1,0,1,1,
p02909.html,1,1,1,1,0,0,0,0,
p03416.html,1,1,1,1,1,1,1,1,
p00005.html,1,1,0,0,1,1,1,1,
p02946.html,1,0,0,0,0,0,1,0,
p02958.html,0,0,0,0,1,0,0,1,
p03107.html,0,0,0,0,1,1,1,0,
p02970.html,0,0,0,0,1,1,1,0,
p02971.html,0,1,1,0,0,1,1,0,
p02622.html,1,1,1,0,1,1,1,0,
p03060.html,0,0,0,0,0,1,1,1,
p02860.html,1,0,0,0,1,1,1,1,
p02705.html,1,1,1,1,1,1,1,0,
p02706.html,0,0,0,0,1,1,1,1,
p02621.html,1,1,1,1,1,1,1,0,
p02418.html,0,0,0,0,1,1,1,0,censored
p03282.html,0,0,0,0,0,0,0,1,
p03474.html,0,0,0,0,1,1,1,1,
p03470.html,0,0,0,1,1,1,1,0,
p03072.html,0,0,1,0,1,1,1,0,
p02880.html,1,1,1,1,1,0,1,1,
p02398.html,1,1,1,1,1,1,1,1,
p02731.html,0,0,0,0,1,1,1,1,censored
p03352.html,1,0,0,0,1,0,1,0,
p03456.html,0,1,0,0,0,1,0,0,
p03106.html,1,1,1,1,1,1,1,1,
p02407.html,1,1,1,1,1,1,1,1,
p03854.html,0,0,0,0,1,0,0,0,
p02755.html,0,0,0,0,1,1,1,0,
p03071.html,0,0,0,0,1,1,1,0,
p03109.html,0,1,1,1,1,1,1,1,
p03360.html,0,0,0,0,1,1,1,0,
p02414.html,1,0,0,1,1,1,1,1,
p02629.html,0,0,0,0,0,1,1,0,
p02693.html,0,0,0,0,1,1,1,1,
p03378.html,0,0,0,0,1,1,1,0,
p02717.html,0,0,1,1,1,0,1,1,
p03371.html,0,0,0,0,0,1,1,1,
p02578.html,0,0,0,0,0,0,0,0,
p02411.html,1,1,1,1,1,1,1,1,
p02408.html,1,0,0,0,1,0,0,0,
p02688.html,1,1,1,0,1,1,1,0,
p03013.html,0,0,0,0,1,0,0,1,
p02694.html,0,0,0,0,0,0,0,1,
